product_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity,created_at
1,PrimeTech Dolls Max 709,Toys,Dolls,PrimeTech,844.96,390.13,1907,2023-10-22 18:07:13
2,DriveWell Condiments Ultra 874,Grocery,Condiments,DriveWell,790.75,440.87,3278,2023-07-08 04:16:11
3,KidJoy Frozen Ultra 250,Grocery,Frozen,KidJoy,769.38,264.06,2053,2024-01-31 03:58:08
4,ReadMore Cereal Pro 201,Grocery,Cereal,ReadMore,739.36,467.37,4080,2022-02-11 13:16:14
5,BloomCraft Decor Basic 256,Home & Kitchen,Decor,BloomCraft,306.93,168.59,626,2024-03-18 17:06:01
6,GlowUp Organic Ultra 777,Grocery,Organic,GlowUp,500.9,251.41,4443,2023-06-18 18:55:11
7,StyleMax Parts Elite 221,Automotive,Parts,StyleMax,387.32,164.93,3082,2023-11-19 11:41:20
8,StyleMax Snacks Lite 670,Grocery,Snacks,StyleMax,661.44,404.64,1344,2024-02-03 11:41:16
9,GreenThumb Hair Care Elite 599,Beauty,Hair Care,GreenThumb,765.42,403.79,4018,2024-05-10 06:33:36
10,KidJoy Lighting Lite 618,Automotive,Lighting,KidJoy,61.39,24.88,4841,2023-08-10 21:19:09
11,GreenThumb Soil Basic 162,Garden,Soil,GreenThumb,33.97,10.8,3001,2023-06-26 23:04:09
12,PrimeTech Plants Elite 199,Garden,Plants,PrimeTech,431.57,300.71,3374,2023-06-30 16:16:02
13,FreshMart Headphones Max 763,Electronics,Headphones,FreshMart,316.22,105.61,536,2023-04-19 15:57:37
14,FunPlay Hats Pro 651,Clothing,Hats,FunPlay,330.15,159.91,3460,2024-06-01 10:25:00
15,AutoParts Oils Pro 812,Automotive,Oils,AutoParts,472.87,146.07,2592,2023-08-10 19:04:41
16,PrimeTech Pots Plus 927,Garden,Pots,PrimeTech,491.42,283.23,1686,2023-06-06 21:46:29
17,FunPlay Dairy Ultra 472,Grocery,Dairy,FunPlay,969.6,369.13,617,2024-04-12 09:20:25
18,AutoParts Basketball Pro 404,Sports,Basketball,AutoParts,996.24,459.08,1850,2022-05-23 20:26:11
19,DriveWell Tools Basic 379,Garden,Tools,DriveWell,72.86,45.21,3893,2023-10-26 11:39:42
20,HomeEase Soccer Ultra 616,Sports,Soccer,HomeEase,805.29,381.03,4423,2023-05-02 18:38:43
21,CozyHome Tennis Ultra 739,Sports,Tennis,CozyHome,518.27,294.7,4485,2022-10-08 13:17:15
22,DriveWell Tablets Standard 318,Electronics,Tablets,DriveWell,662.83,417.29,3828,2023-02-21 05:22:34
23,DriveWell Oils Pro 634,Automotive,Oils,DriveWell,205.43,99.63,1969,2022-08-22 18:01:37
24,ActiveLife Children Basic 980,Books,Children,ActiveLife,831.22,270.79,1667,2023-10-03 16:49:02
25,FunPlay Biography Ultra 803,Books,Biography,FunPlay,603.61,279.08,930,2022-08-21 22:59:52
26,FreshMart Fitness Ultra 575,Sports,Fitness,FreshMart,488.46,340.22,3457,2022-02-27 11:35:57
27,AutoParts Running Lite 129,Sports,Running,AutoParts,262.84,163.33,4511,2022-10-01 09:12:16
28,TechPro Keyboards Pro 980,Electronics,Keyboards,TechPro,897.12,381.78,2441,2022-04-09 18:29:50
29,HomeEase Bath Elite 959,Beauty,Bath,HomeEase,725.88,258.58,916,2024-06-05 23:25:49
30,PureSkin Accessories Ultra 608,Automotive,Accessories,PureSkin,885.25,349.88,1001,2023-05-02 20:47:02
31,FreshMart Educational Elite 323,Toys,Educational,FreshMart,149.4,55.29,2249,2023-11-14 16:49:51
32,DriveWell Nail Care Pro 602,Beauty,Nail Care,DriveWell,536.26,310.95,925,2023-05-07 15:36:01
33,KidJoy Oils Max 384,Automotive,Oils,KidJoy,880.15,593.92,2973,2024-01-09 05:33:07
34,TechPro Building Sets Pro 961,Toys,Building Sets,TechPro,741.0,459.11,447,2023-01-08 07:45:45
35,GreenThumb Children Basic 931,Books,Children,GreenThumb,687.13,353.16,1936,2023-11-19 05:58:18
36,CozyHome Skincare Ultra 408,Beauty,Skincare,CozyHome,95.7,60.2,1928,2023-04-08 00:43:46
37,PageTurn Running Basic 931,Sports,Running,PageTurn,768.13,355.27,277,2023-03-02 16:49:19
38,KidJoy Accessories Elite 961,Clothing,Accessories,KidJoy,336.72,157.9,822,2022-09-07 02:01:59
39,UrbanWear Non-Fiction Elite 716,Books,Non-Fiction,UrbanWear,730.85,379.38,2676,2023-12-06 02:49:22
40,FunPlay Phones Standard 910,Electronics,Phones,FunPlay,643.24,193.76,1639,2023-04-20 15:38:16
41,SportZone Board Games Lite 355,Toys,Board Games,SportZone,519.26,357.18,1065,2023-09-30 09:41:48
42,KidJoy Plush Lite 366,Toys,Plush,KidJoy,178.43,95.85,2683,2023-03-14 18:09:57
43,ActiveLife Cycling Basic 286,Sports,Cycling,ActiveLife,397.12,179.07,4672,2022-12-15 17:29:13
44,NatureBite Phones Max 191,Electronics,Phones,NatureBite,974.27,369.55,1382,2022-03-19 08:02:36
45,BloomCraft Tools Ultra 252,Beauty,Tools,BloomCraft,94.52,42.27,4646,2022-07-02 07:08:40
46,PageTurn Monitors Standard 221,Electronics,Monitors,PageTurn,229.13,87.36,2180,2023-03-24 08:00:01
47,ReadMore Frozen Elite 976,Grocery,Frozen,ReadMore,211.36,81.63,2318,2022-10-22 03:58:14
48,ActiveLife Hair Care Lite 129,Beauty,Hair Care,ActiveLife,294.44,119.17,3694,2023-01-21 17:57:52
49,HomeEase Plush Pro 580,Toys,Plush,HomeEase,138.4,59.41,3256,2022-11-26 16:02:52
50,BloomCraft Tools Ultra 174,Beauty,Tools,BloomCraft,100.7,32.58,2726,2022-12-31 19:31:24
51,BloomCraft Dairy Pro 105,Grocery,Dairy,BloomCraft,258.12,141.41,2478,2023-09-06 03:21:49
52,NatureBite Puzzles Pro 694,Toys,Puzzles,NatureBite,184.29,67.81,4037,2023-06-11 21:25:30
53,HomeEase Canned Goods Basic 827,Grocery,Canned Goods,HomeEase,533.23,190.21,957,2023-05-02 15:32:15
54,KidJoy Tablets Ultra 865,Electronics,Tablets,KidJoy,364.42,172.02,2156,2023-02-14 17:36:31
55,ActiveLife Tires Lite 423,Automotive,Tires,ActiveLife,738.44,366.64,1239,2024-05-13 05:03:16
56,GlowUp Snacks Lite 155,Grocery,Snacks,GlowUp,234.47,73.7,2131,2022-09-12 01:46:14
57,SportZone Frozen Standard 141,Grocery,Frozen,SportZone,444.86,309.41,4594,2024-01-24 17:32:56
58,SportZone Organic Lite 226,Grocery,Organic,SportZone,353.5,134.86,2327,2022-10-08 15:18:18
